labels,data
10:20,1
10:30,4
10:40,3
10:50,1
11:20,1
11:40,1
12:10,3
12:20,1
12:30,4
12:40,5
01:20,4
01:50,1
02:00,2
02:10,1
02:30,3
02:40,3
02:50,1
03:00,1
03:10,2
03:20,1
03:30,1
03:40,1
03:50,2
04:00,4
